Sample,C,H,O,N,S,P,Calculated.m.z,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,delGcox0,delGd0,delGcat0,delGan0,delGdis0,lambda0,delGcox,delGd,delGcat,delGan,delGdis,lambda,Dataset,global_dataset,sampleName,coreMSname,type,date_utc_YYYYMMDD,Latitude,Longitude,depth_m,N_mgL,N_species,N_value2,N_species2,N_units2,N_value3,N_species3,N_units3,N_value4,N_species4,N_units4,P_pool,P_species,P_units,C_mgL,C_species,GHG,GHG_species,GHG_units,DO_mgL,BDOC_%_mean,BDOC_sd,chla_ugL,bacterial_activity,bact_act_units,Respiration_mgDO_hr_L_sediment,Extraction_Efficiency(%;assumed_or_measured),Instrument(t),TARGET_carbon_normalization(ugCL-1)
Behnke2022_2020February20NegESI_FW_BL_0724_i.corems,19.6269154998447,16.3713307594253,9.7502511286198,0.0884468169804421,0.0466312011385656,0,409.699004143352,0.29504216981138,0.50944741030171,12.4854735286222,2.73522240000239,2.60014438188338,55.3494690922625,409.241520258618,0.387268431019302,0.173702838867983,0.499845769923013,0.844858560226821,0.00448334421389993,0,55.3494690922625,1084.1014356362,-8122.71427600706,-4.71360408016161,473.723062409626,0.0611316260235464,-137.408796288567,-2695.73141685403,-8905.2142888689,-17.6519989117202,465.15551580462,0.0531238628255129,Behnke2022,BEHNKE2022,X2020February20NegESI_FW_BL_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_BL_0724_i.corems,mineral_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,60,21,40
Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems,22.1067814021935,18.641443097865,10.5147299300457,0.0798871068081093,0.0580779184305666,0,454.219157174466,0.295365369934083,0.505843014823598,13.8260034066651,3.31127347661929,3.17330845138061,56.78947011587,453.711952901142,0.423458788867156,0.123176487162459,0.47803922107929,0.851104668583445,0.00393533547478648,0,56.78947011587,1254.83965184617,-9260.64232071853,-7.37800471189317,473.289799278627,0.0541426168602171,-138.028927327986,-3050.91668280167,-10143.0218410537,-20.1219525919259,465.161021816128,0.047126451192514,Behnke2022,BEHNKE2022,X2020February20NegESI_FW_OaL_0724_i_100scans_132msAccTime_trunc_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_OaL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,60,21,40
Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems,20.762849839403,17.038720866773,10.180282391286,0.0235936112160071,0.0282522289413141,0,429.38538395765,0.30419498705898,0.515996031155913,13.2552862116245,3.07500382033854,3.02315798018121,55.8672371568232,428.905908481134,0.405910602198255,0.155535538357077,0.49337364160438,0.838605905456412,0.00114918583011302,0,55.8672371568232,1153.69966290711,-8615.48894128628,-5.25867035805474,472.750302427234,0.0580783557238928,-137.720663674266,-2856.45874917173,-9445.23072106069,-18.1978264852134,465.148098983169,0.0505613023089956,Behnke2022,BEHNKE2022,X2020February20NegESI_FW_Oe2L_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_FW_Oe2L_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,60,21,40
Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems,21.1782865524444,18.6349696062469,10.2708569138827,0.0447570645852959,0.0119639804803919,0,437.20368007173,0.256802695928482,0.479749578273538,12.8831802816136,2.61232336773092,2.55560232266523,57.3145546732834,436.715474547463,0.402090589804598,0.104752467604093,0.491836039498172,0.887184103122278,0.00224277700443525,0,57.3145546732834,1218.19979288969,-8924.80089985679,-3.82885472083146,475.621002953722,0.0569916724914996,-138.210478622308,-2928.75729041522,-9769.64463355968,-15.964397773888,465.164103301767,0.0494923570281744,Behnke2022,BEHNKE2022,X2020February20NegESI_Fen_Oe1L_0724_L_125scans_115msAccTime_SFN_done.csv.RelAbun,Behnke2022_2020February20NegESI_Fen_Oe1L_0724_i_L.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,6.69,,,,,,60,21,40
Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems,18.914161625984,17.5346700338746,9.40258346314891,0.0341899028542366,0.0637304357005084,0,396.544419834288,0.222823758017715,0.445516188151699,11.1639215604738,1.76133809732489,1.66341775877014,58.2046741899757,396.101619091927,0.362358446514749,0.0735202038604951,0.501589945668285,0.943867012196132,0.00181934931655679,0,58.2046741899757,1097.75891308381,-8003.05079506307,-6.94274577126291,473.982003316066,0.062235892930912,-138.729221496825,-2621.93675915582,-8759.92450368496,-19.3141487024975,465.164323120726,0.0541566498509542,Behnke2022,BEHNKE2022,X2020February20NegESI_Fen_OiL_0724_i_100scans_165msAccTime_SFN_done.csv.RelAbun,Behnke2022_2020February20NegESI_Fen_OiL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,,60,21,40
Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems,18.2961804864683,18.6893719494917,10.5218373377927,0.0415595470332573,0.0305452296992658,0,407.236951722601,0.0855999369490339,0.360605656707493,9.97227428523914,-0.549563052553576,-0.621667829286099,56.0173719837286,406.782212263615,0.370003937022222,0.150267649693735,0.580571785226859,1.02098919319768,0.00229333104663225,0,56.0173719837286,1030.86763627616,-7638.99704961263,-1.84859353247734,476.556381812144,0.0649827099810332,-137.721038233058,-2522.2203133199,-8369.5597144584,-14.3274133424133,465.18853889709,0.0562635314655249,Behnke2022,BEHNKE2022,X2020February20NegESI_Up_BsL_0724_i_100scans_132msAccTime_not_truncated_done.csv.RelAbun,Behnke2022_2020February20NegESI_Up_BsL_0724_i.corems,mineral_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,60,21,40
Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems,18.5326392623663,19.4670239773334,8.96547967279511,0.114687441035416,0.0552742212638778,0,387.779038634131,0.168537245201239,0.380484829827421,9.8564709942173,0.890991321422191,0.721029659122897,61.4947742330967,387.346032267854,0.334736877536357,-0.0419219029156758,0.492546842238224,1.05112733720345,0.00604477789324217,0,61.4947742330967,1148.3395827048,-8082.05445690906,-10.0509812413629,473.50140894637,0.0617420279862108,-139.827281950093,-2594.74569941878,-8820.13083648053,-21.4432772497529,465.191519302584,0.0539445444910178,Behnke2022,BEHNKE2022,X2020February20NegESI_Up_OiL_0724_i_100scans_132msAccTime_done.csv.RelAbun,Behnke2022_2020February20NegESI_Up_OiL_0724_i.corems,organic_leachate,20180724,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,60,21,40
Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems,21.051931315716,20.515677846033,9.84928864828374,0.00182870206255138,0.00812117854903538,0,430.115902284656,0.222803005928161,0.433935359681248,11.7950067437307,1.94571809544707,1.93576821483549,60.9850033445888,429.635606722186,0.37734482742457,-0.0240352050732836,0.471719061344509,0.96855386483175,6.2341601899265e-05,0,60.9850033445888,1292.0995627938,-9139.90555936762,-7.5877537997844,475.59849107249,0.0569715218874933,-139.759871087946,-2945.4578481315,-9981.2625341005,-18.9629160667505,465.160318005891,0.0495995252890627,Behnke2022,BEHNKE2022,X2020February21NegESI_FW_Spruce_Thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_FW_Spruce_Thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,60,21,40
Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems,21.6519015236713,19.9766723443654,10.5634609544687,0.00121968521696364,0.00694107518223343,0,448.14918814732,0.234263539921611,0.45871863059365,12.6641751940972,2.10071423962847,2.09255347922927,58.5583506944276,447.648752957412,0.40530294137803,0.0611105019499096,0.488685854084549,0.917092656223892,4.10078329108453e-05,0,58.5583506944276,1272.32762491564,-9213.27371073428,-4.50024876034327,475.926383478192,0.0570554819360076,-138.78178041971,-3006.62664618041,-10078.5789840722,-16.3883287903049,465.159599815711,0.0495540855944115,Behnke2022,BEHNKE2022,X2020February21NegESI_Up_Hem_thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_Up_Hem_thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,60,21,40
Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems,20.9173009526158,19.9899434010884,10.0538825358694,0.00139947664607605,0.00439387226065321,0,431.117771179934,0.219444245877808,0.439449315734007,11.9230289903947,1.86914645452531,1.86335310561858,59.7951585460559,430.636356670413,0.383515321361346,0.0177137352261091,0.484083189881294,0.951033559057245,4.91508055953228e-05,0,59.7951585460559,1257.5852238571,-8994.66442099085,-5.63655419461306,476.097278030779,0.0578087271782476,-139.27302190251,-2915.94096597734,-9830.51062427907,-17.2104599138552,465.162840614797,0.0502507251888595,Behnke2022,BEHNKE2022,X2020February21NegESI_Up_Spruce_thru_0630_i_100scans_150msAccTime_done.csv.RelAbun,Behnke2022_2020February21NegESI_Up_Spruce_thru_0630_i.corems,throughflow,20180630,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,60,21,40
